a,b,c,d,e,f
794,877,0.0277875176100608,qux,-0.241044392942093,895
759,NA,0.913304337807685,quux,Inf,678
645,215,1.58822681986125,NA,-Inf,830
879,246,NA,baz,0.275798190181689,431
203,776,-1.32654403533956,,0.591995437388882,41
212,615,0.622232157684553,foo,1.08013968013852,780
902,607,-1.21159157396025,baz,-0.0632018379975875,342
944,163,-0.287534296654627,foo,0.450901938979104,142
795,991,-0.322324026787352,bar,-0.182295009944444,793
910,309,2.6284986996019,bar,1.26090502598489,816
240,265,1.33873967582452,qux,-0.498279815978803,428
913,101,-0.202956599855715,baz,2.00688898859846,14
987,247,-0.925862320164249,bar,-1.30440795235644,14
964,594,-1.35682975129178,qux,-0.478547715979387,450
425,657,1.23392257339981,quux,1.79067991343486,992
571,890,-0.105047051479942,quux,-0.683782373386755,581
707,972,-2.22148008759788,bar,-0.175663437481715,244
408,969,0.346457782059727,baz,-1.46279125481685,109
93,423,0.364647000056721,quux,0.314910381276249,840
673,762,2.03050002751079,bar,1.6133151212135,82
599,34,-0.119945188028298,qux,-0.351774874652813,632
706,788,-0.441929335733938,baz,-0.482050924278088,756
149,561,-1.40359682668959,foo,-0.138206327503024,925
834,248,-0.570486786377214,quux,-0.734704574079905,875
454,638,0.00361089428179181,bar,0.423237092270052,957
511,575,-2.12250476333938,qux,1.24771023086143,363
273,485,-0.173168078173489,bar,0.177611306335539,280
30,606,0.460679184603403,foo,0.486970015555522,112
615,661,-1.49339871314798,qux,0.475886234868359,485
555,938,-0.708383882133331,qux,2.1692689132789,304
716,805,1.18185655373848,quux,-1.53286023291499,994
988,913,1.97817071862233,foo,1.43047061316738,661
5,223,0.0892602417234517,bar,-1.36260447381478,710
64,959,-0.149767457153727,foo,-1.48532575693341,595
378,960,-0.00602618354979975,qux,-0.605830735488205,510
118,686,-0.724687587641537,quux,0.645584691344899,725
91,528,0.888273566239932,qux,2.22737131798438,848
65,293,0.810264090604197,bar,0.41858601894859,784
308,953,0.395299167147624,baz,-2.10758164094151,142
428,545,0.856305880048948,baz,0.670601981476134,487
649,645,-0.185519915232529,quux,0.0959142392713892,683
22,472,0.131781350081292,foo,-1.28643181512416,395
917,995,1.6024904907307,foo,1.06881109192408,873
